Titre;Auteur;Année
L'Étranger;Albert Camus;1942
Les Misérables;Victor Hugo;1862
Le Petit Prince;Antoine de Saint-Exupéry;1943
Candide;Voltaire;1759
La métamorphose;Kafka;1915
Le Seigneur des anneaux;J.R.R. Tolkien;1954
Crime et Châtiment;Fiodor Dostoïevski;1866
Hamlet;Shakespearel;1603
Le Horla;Guy de Maupassant;1887
Le journal d'Anna Frank;Anna Frank;1947
L'Odyssée;Homère;1614
L'Idiot;Fyodor Dostoevsky;1869
La devine comédie;Dante Alighieri;1472
Le prince; Nicolas Machiavel;1513
L'insoutenable légèreté de l'être;Milan Kundera;1984
La fête de l'insignifiance;Milan Kundera;2013
Don Quichotte;Miguel de Cervantes;1605
La liste de Schindler; Thomas Keneally;1993
La Princesse de Clèves; Mme de La Fayette; 1678
